," PDSI (gridMET Drought) at -93.7566E,41.5677N, 2022-01-01 to 2025-12-01"
"2022-01-05",-1.53
"2022-01-10",-1.55
"2022-01-15",-1.47
"2022-01-20",-1.39
"2022-01-25",-1.3
"2022-01-30",-1.24
"2022-02-04",-1.2
"2022-02-09",-1.18
"2022-02-14",-1.27
"2022-02-19",-1.36
"2022-02-24",-1.44
"2022-03-01",-1.55
"2022-03-06",-1.51
"2022-03-11",-1.46
"2022-03-16",-1.44
"2022-03-21",-1.34
"2022-03-26",-1.21
"2022-03-31",-1.09
"2022-04-05",-1.05
"2022-04-10",-1.02
"2022-04-15",-1.01
"2022-04-20",-1.03
"2022-04-25",-0.98
"2022-04-30",-0.94
"2022-05-05",-0.89
"2022-05-10",-0.84
"2022-05-15",-0.82
"2022-05-20",-0.82
"2022-05-25",-0.84
"2022-05-30",-0.89
"2022-06-04",-0.98
"2022-06-09",-0.98
"2022-06-14",-0.98
"2022-06-19",-0.99
"2022-06-24",-1.06
"2022-06-29",-1.14
"2022-07-04",-1.2
"2022-07-09",-1.3
"2022-07-14",-1.42
"2022-07-19",-1.56
"2022-07-24",-1.69
"2022-07-29",-1.81
"2022-08-03",-1.95
"2022-08-08",-2.12
"2022-08-13",-2.3
"2022-08-18",-2.44
"2022-08-23",-2.48
"2022-08-28",-2.42
"2022-09-02",-2.35
"2022-09-07",-2.28
"2022-09-12",-2.16
"2022-09-17",-2.05
"2022-09-22",-2.03
"2022-09-27",-2.11
"2022-10-02",-2.2
"2022-10-07",-2.3
"2022-10-12",-2.42
"2022-10-17",-2.55
"2022-10-22",-2.69
"2022-10-27",-2.8
"2022-11-01",-2.92
"2022-11-06",-2.91
"2022-11-11",-2.88
"2022-11-16",-2.8
"2022-11-21",-2.7
"2022-11-26",-2.64
"2022-12-01",-2.57
"2022-12-06",-2.67
"2022-12-11",-2.73
"2022-12-16",-2.72
"2022-12-21",-2.66
"2022-12-26",-2.59
"2022-12-31",-2.52
"2023-01-05",-2.31
"2023-01-10",-2.17
"2023-01-15",-2.09
"2023-01-20",-1.96
"2023-01-25",-1.82
"2023-01-30",-1.66
"2023-02-04",-1.61
"2023-02-09",-1.58
"2023-02-14",-1.56
"2023-02-19",-1.57
"2023-02-24",-1.59
"2023-03-01",-1.5
"2023-03-06",-1.4
"2023-03-11",-1.23
"2023-03-16",-1.08
"2023-03-21",-0.97
"2023-03-26",-0.87
"2023-03-31",-0.88
"2023-04-05",-0.86
"2023-04-10",-0.94
"2023-04-15",-1.05
"2023-04-20",-1.07
"2023-04-25",-1.1
"2023-04-30",-1.15
"2023-05-05",-1.23
"2023-05-10",-1.3
"2023-05-15",-1.32
"2023-05-20",-1.44
"2023-05-25",-1.57
"2023-05-30",-1.69
"2023-06-04",-1.77
"2023-06-09",-1.88
"2023-06-14",-2.01
"2023-06-19",-2.1
"2023-06-24",-2.19
"2023-06-29",-2.28
"2023-07-04",-2.38
"2023-07-09",-2.47
"2023-07-14",-2.51
"2023-07-19",-2.57
"2023-07-24",-2.62
"2023-07-29",-2.68
"2023-08-03",-2.72
"2023-08-08",-2.68
"2023-08-13",-2.71
"2023-08-18",-2.73
"2023-08-23",-2.78
"2023-08-28",-2.82
"2023-09-02",-2.92
"2023-09-07",-3.12
"2023-09-12",-3.29
"2023-09-17",-3.44
"2023-09-22",-3.51
"2023-09-27",-3.57
"2023-10-02",-3.63
"2023-10-07",-3.67
"2023-10-12",-3.74
"2023-10-17",-3.78
"2023-10-22",-3.87
"2023-10-27",-3.89
"2023-11-01",-3.88
"2023-11-06",-3.89
"2023-11-11",-3.92
"2023-11-16",-3.96
"2023-11-21",-3.99
"2023-11-26",-4.09
"2023-12-01",-4.2
"2023-12-06",-4.29
"2023-12-11",-4.39
"2023-12-16",-4.46
"2023-12-21",-4.53
"2023-12-26",-4.59
"2023-12-31",-4.63
"2024-01-05",-4.57
"2024-01-10",-4.42
"2024-01-15",-4.18
"2024-01-20",-3.92
"2024-01-25",-3.74
"2024-01-30",-3.56
"2024-02-04",-3.38
"2024-02-09",-3.31
"2024-02-14",-3.31
"2024-02-19",-3.31
"2024-02-24",-3.39
"2024-02-29",-3.5
"2024-03-05",-3.6
"2024-03-10",-3.68
"2024-03-15",-3.79
"2024-03-20",-3.91
"2024-03-25",-3.89
"2024-03-30",-3.86
"2024-04-04",-3.81
"2024-04-09",-3.77
"2024-04-14",-3.77
"2024-04-19",-3.73
"2024-04-24",-3.84
"2024-04-29",-3.85
"2024-05-04",-3.8
"2024-05-09",-3.69
"2024-05-14",-3.54
"2024-05-19",-3.41
"2024-05-24",-3.2
"2024-05-29",-3.07
"2024-06-03",-3.01
"2024-06-08",-2.99
"2024-06-13",-3
"2024-06-18",-3
"2024-06-23",-3.04
"2024-06-28",-3.03
"2024-07-03",-2.96
"2024-07-08",-2.86
"2024-07-13",-2.73
"2024-07-18",-2.63
"2024-07-23",-2.53
"2024-07-28",-2.46
"2024-08-02",-2.31
"2024-08-07",-2.2
"2024-08-12",-2.07
"2024-08-17",-1.9
"2024-08-22",-1.75
"2024-08-27",-1.69
"2024-09-01",-1.72
"2024-09-06",-1.75
"2024-09-11",-1.79
"2024-09-16",-1.88
"2024-09-21",-1.93
"2024-09-26",-2
"2024-10-01",-2.18
"2024-10-06",-2.37
"2024-10-11",-2.53
"2024-10-16",-2.67
"2024-10-21",-2.82
"2024-10-26",-2.99
"2024-10-31",-3.07
"2024-11-05",-3.02
"2024-11-10",-2.93
"2024-11-15",-2.8
"2024-11-20",-2.6
"2024-11-25",-2.39
"2024-11-30",-2.3
"2024-12-05",-2.32
"2024-12-10",-2.35
"2024-12-15",-2.39
"2024-12-20",-2.47
"2024-12-25",-2.54
"2024-12-30",-2.52
"2025-01-05",-2.47
"2025-01-10",-2.42
"2025-01-15",-2.35
"2025-01-20",-2.29
"2025-01-25",-2.22
"2025-01-30",-2.29
"2025-02-04",-2.36
"2025-02-09",-2.45
"2025-02-14",-2.52
"2025-02-19",-2.56
"2025-02-24",-2.62
"2025-03-01",-2.7
"2025-03-06",-2.61
"2025-03-11",-2.56
"2025-03-16",-2.54
"2025-03-21",-2.54
"2025-03-26",-2.53
"2025-03-31",-2.52
"2025-04-05",-2.56
"2025-04-10",-2.63
"2025-04-15",-2.74
"2025-04-20",-2.76
"2025-04-25",-2.75
"2025-04-30",-2.77
"2025-05-05",-2.85
"2025-05-10",-2.93
"2025-05-15",-3
"2025-05-20",-2.92
"2025-05-25",-2.89
"2025-05-30",-2.83
"2025-06-04",-2.78
"2025-06-09",-2.74
"2025-06-14",-2.7
"2025-06-19",-2.76
"2025-06-24",-2.7
"2025-06-29",-2.63
"2025-07-04",-2.6
"2025-07-09",-2.48
"2025-07-14",-2.26
"2025-07-19",-1.95
"2025-07-24",-1.72
"2025-07-29",-1.44
"2025-08-03",-1.16
"2025-08-08",-0.86
"2025-08-13",-0.61
"2025-08-18",1.77
"2025-08-23",1.8
"2025-08-28",1.74
"2025-09-02",1.67
"2025-09-07",1.53
"2025-09-12",1.4
"2025-09-17",1.27
"2025-09-22",1.13
"2025-09-27",0.98
"2025-10-02",0.81
"2025-10-07",0.69
"2025-10-12",0.59
"2025-10-17",-0.08
"2025-10-22",-1.06
"2025-10-27",-1.12
"2025-11-01",-1.11
"2025-11-06",-1.2
"2025-11-11",-1.25
"2025-11-16",-1.3
"2025-11-21",-1.33
"2025-11-26",-1.34
"2025-12-01",-1.35